Trial,StimulusType,Reaction,ReactionTime(ms),ErrorType
1,Non-Target,No,0,None
2,Non-Target,No,0,None
3,Non-Target,No,0,None
4,Non-Target,No,0,None
5,Non-Target,No,0,None
6,Non-Target,Yes,706,Commission
7,Non-Target,No,0,None
8,Non-Target,No,0,None
9,Target,Yes,836,None
10,Target,Yes,758,None
11,Non-Target,Yes,793,Commission
12,Target,Yes,848,None
13,Target,Yes,636,None
14,Target,Yes,882,None
15,Non-Target,Yes,944,Commission
16,Target,Yes,635,None
17,Non-Target,No,0,None
18,Target,No,0,Omission
19,Non-Target,No,0,None
20,Non-Target,No,0,None
21,Non-Target,No,0,None
22,Non-Target,No,0,None
23,Target,No,0,Omission
24,Non-Target,No,0,None
25,Target,Yes,916,None
26,Non-Target,No,0,None
27,Non-Target,No,0,None
28,Non-Target,No,0,None
29,Non-Target,No,0,None
30,Target,Yes,854,None
31,Target,Yes,959,None
32,Non-Target,No,0,None
33,Target,Yes,815,None
34,Non-Target,No,0,None
35,Non-Target,No,0,None
36,Non-Target,No,0,None
37,Non-Target,No,0,None
38,Non-Target,No,0,None
39,Non-Target,No,0,None
40,Non-Target,No,0,None
41,Target,Yes,759,None
42,Non-Target,No,0,None
43,Non-Target,Yes,887,Commission
44,Target,Yes,574,None
45,Target,Yes,750,None
46,Non-Target,No,0,None
47,Target,Yes,760,None
48,Non-Target,No,0,None
49,Non-Target,No,0,None
50,Non-Target,Yes,768,Commission
51,Target,No,0,Omission
52,Non-Target,No,0,None
53,Non-Target,Yes,631,Commission
54,Target,Yes,797,None
55,Non-Target,No,0,None
56,Target,Yes,937,None
57,Non-Target,No,0,None
58,Non-Target,No,0,None
59,Non-Target,No,0,None
60,Non-Target,No,0,None
61,Target,Yes,737,None
62,Target,No,0,Omission
63,Target,Yes,705,None
64,Non-Target,Yes,755,Commission
65,Target,Yes,899,None
66,Non-Target,No,0,None
67,Non-Target,No,0,None
68,Non-Target,No,0,None
69,Target,Yes,784,None
70,Non-Target,Yes,658,Commission
71,Non-Target,No,0,None
72,Non-Target,No,0,None
73,Target,Yes,691,None
74,Non-Target,No,0,None
75,Non-Target,No,0,None
76,Non-Target,No,0,None
77,Non-Target,No,0,None
78,Non-Target,No,0,None
79,Non-Target,No,0,None
80,Non-Target,No,0,None
81,Target,Yes,881,None
82,Target,No,0,Omission
83,Non-Target,No,0,None
84,Non-Target,No,0,None
85,Non-Target,No,0,None
86,Non-Target,No,0,None
87,Non-Target,No,0,None
88,Target,Yes,465,None
89,Non-Target,No,0,None
90,Non-Target,No,0,None
91,Non-Target,No,0,None
92,Non-Target,No,0,None
93,Target,Yes,800,None
94,Non-Target,No,0,None
95,Non-Target,No,0,None
96,Target,No,0,Omission
97,Target,Yes,624,None
98,Target,Yes,1000,None
99,Target,Yes,403,None
100,Non-Target,No,0,None
101,Non-Target,No,0,None
102,Target,Yes,647,None
103,Target,Yes,729,None
104,Non-Target,No,0,None
105,Target,Yes,881,None
106,Non-Target,No,0,None
107,Non-Target,No,0,None
108,Non-Target,No,0,None
109,Non-Target,No,0,None
110,Non-Target,No,0,None
111,Non-Target,Yes,762,Commission
112,Target,Yes,902,None
113,Non-Target,Yes,691,Commission
114,Target,Yes,922,None
115,Non-Target,No,0,None
116,Non-Target,No,0,None
117,Non-Target,No,0,None
118,Non-Target,No,0,None
119,Non-Target,No,0,None
120,Target,Yes,615,None
121,Non-Target,No,0,None
122,Non-Target,No,0,None
123,Target,Yes,567,None
124,Non-Target,Yes,866,Commission
125,Target,Yes,676,None
126,Target,Yes,1073,None
127,Target,Yes,1055,None
128,Non-Target,No,0,None
129,Non-Target,Yes,1139,Commission
130,Target,Yes,321,None
131,Non-Target,No,0,None
132,Target,No,0,Omission
133,Non-Target,No,0,None
134,Non-Target,No,0,None
135,Target,No,0,Omission
136,Non-Target,No,0,None
137,Target,No,0,Omission
138,Non-Target,No,0,None
139,Target,Yes,594,None
140,Target,No,0,Omission
141,Non-Target,No,0,None
142,Non-Target,No,0,None
143,Non-Target,No,0,None
144,Non-Target,Yes,804,Commission
145,Target,Yes,585,None
146,Target,Yes,519,None
147,Non-Target,No,0,None
148,Non-Target,No,0,None
149,Non-Target,No,0,None
150,Target,No,0,Omission
151,Non-Target,No,0,None
152,Non-Target,No,0,None
153,Target,No,0,Omission
154,Target,Yes,602,None
155,Target,No,0,Omission
156,Non-Target,No,0,None
157,Target,Yes,725,None
158,Non-Target,No,0,None
159,Non-Target,No,0,None
160,Non-Target,No,0,None
161,Non-Target,No,0,None
162,Non-Target,No,0,None
163,Non-Target,Yes,841,Commission
164,Non-Target,No,0,None
165,Non-Target,Yes,780,Commission
166,Non-Target,No,0,None
167,Non-Target,No,0,None
168,Target,Yes,897,None
169,Target,Yes,812,None
170,Non-Target,No,0,None
171,Non-Target,Yes,644,Commission
172,Non-Target,No,0,None
173,Non-Target,No,0,None
174,Target,Yes,780,None
175,Non-Target,No,0,None
176,Non-Target,No,0,None
177,Non-Target,No,0,None
178,Non-Target,No,0,None
179,Non-Target,Yes,710,Commission
180,Non-Target,No,0,None
181,Non-Target,Yes,847,Commission
182,Target,Yes,689,None
183,Target,Yes,807,None
184,Non-Target,No,0,None
185,Non-Target,No,0,None
186,Non-Target,Yes,803,Commission
187,Target,Yes,1069,None
188,Non-Target,No,0,None
189,Non-Target,No,0,None
190,Non-Target,No,0,None
191,Non-Target,Yes,402,Commission
192,Target,Yes,721,None
193,Target,No,0,Omission
194,Non-Target,No,0,None
195,Non-Target,No,0,None
196,Non-Target,No,0,None
197,Target,Yes,713,None
198,Target,Yes,794,None
199,Non-Target,No,0,None
200,Non-Target,No,0,None
201,Non-Target,No,0,None
202,Non-Target,Yes,931,Commission
203,Non-Target,No,0,None
204,Non-Target,Yes,715,Commission
205,Target,Yes,765,None
206,Non-Target,No,0,None
207,Non-Target,No,0,None
208,Non-Target,No,0,None
209,Target,Yes,609,None
210,Non-Target,No,0,None
211,Target,Yes,632,None
212,Non-Target,No,0,None
213,Non-Target,No,0,None
214,Non-Target,No,0,None
215,Non-Target,No,0,None
216,Target,No,0,Omission
217,Target,Yes,584,None
218,Non-Target,Yes,942,Commission
219,Target,Yes,812,None
220,Target,Yes,653,None
221,Non-Target,Yes,673,Commission
222,Non-Target,Yes,965,Commission
223,Non-Target,Yes,871,Commission
224,Non-Target,No,0,None
225,Non-Target,No,0,None
226,Non-Target,No,0,None
227,Target,Yes,705,None
228,Non-Target,No,0,None
229,Non-Target,No,0,None
230,Non-Target,No,0,None
231,Target,Yes,765,None
232,Non-Target,Yes,609,Commission
233,Target,Yes,890,None
234,Non-Target,No,0,None
235,Non-Target,No,0,None
236,Non-Target,No,0,None
237,Non-Target,No,0,None
238,Non-Target,No,0,None
