Trial,StimulusType,Reaction,ReactionTime(ms),ErrorType
1,Non-Target,No,0,None
2,Target,Yes,233,None
3,Non-Target,No,0,None
4,Non-Target,Yes,329,Commission
5,Target,Yes,315,None
6,Non-Target,No,0,None
7,Target,Yes,160,None
8,Target,Yes,307,None
9,Target,Yes,234,None
10,Non-Target,No,0,None
11,Target,Yes,194,None
12,Non-Target,No,0,None
13,Non-Target,No,0,None
14,Non-Target,No,0,None
15,Target,Yes,281,None
16,Non-Target,No,0,None
17,Target,Yes,243,None
18,Non-Target,No,0,None
19,Non-Target,Yes,263,Commission
20,Target,Yes,131,None
21,Non-Target,No,0,None
22,Non-Target,No,0,None
23,Target,Yes,315,None
24,Non-Target,No,0,None
25,Non-Target,No,0,None
26,Target,Yes,228,None
27,Target,Yes,241,None
28,Target,Yes,236,None
29,Non-Target,No,0,None
30,Target,Yes,210,None
31,Target,Yes,200,None
32,Target,Yes,352,None
33,Non-Target,No,0,None
34,Target,Yes,303,None
35,Non-Target,No,0,None
36,Non-Target,No,0,None
37,Non-Target,No,0,None
38,Non-Target,No,0,None
39,Target,Yes,273,None
40,Non-Target,No,0,None
41,Target,Yes,240,None
42,Non-Target,No,0,None
43,Target,Yes,262,None
44,Target,Yes,214,None
45,Non-Target,No,0,None
46,Non-Target,No,0,None
47,Non-Target,No,0,None
48,Non-Target,No,0,None
49,Non-Target,No,0,None
50,Target,Yes,282,None
51,Non-Target,No,0,None
52,Non-Target,No,0,None
53,Target,Yes,246,None
54,Non-Target,Yes,170,Commission
55,Non-Target,No,0,None
56,Target,Yes,226,None
57,Non-Target,No,0,None
58,Non-Target,No,0,None
59,Non-Target,No,0,None
60,Non-Target,No,0,None
61,Target,Yes,325,None
62,Target,Yes,326,None
63,Non-Target,No,0,None
64,Non-Target,No,0,None
65,Non-Target,No,0,None
66,Target,Yes,140,None
67,Target,Yes,170,None
68,Non-Target,No,0,None
69,Non-Target,No,0,None
70,Target,Yes,176,None
71,Non-Target,No,0,None
72,Target,Yes,359,None
73,Target,Yes,287,None
74,Non-Target,No,0,None
75,Non-Target,No,0,None
76,Non-Target,No,0,None
77,Non-Target,No,0,None
78,Target,Yes,176,None
79,Non-Target,No,0,None
80,Non-Target,No,0,None
81,Target,Yes,195,None
82,Non-Target,No,0,None
83,Target,Yes,145,None
84,Non-Target,No,0,None
85,Target,Yes,303,None
86,Non-Target,No,0,None
87,Non-Target,No,0,None
88,Non-Target,No,0,None
89,Non-Target,No,0,None
90,Non-Target,No,0,None
91,Target,Yes,408,None
92,Non-Target,No,0,None
93,Target,Yes,260,None
94,Non-Target,No,0,None
95,Target,Yes,228,None
96,Target,Yes,318,None
97,Non-Target,No,0,None
98,Non-Target,No,0,None
99,Non-Target,No,0,None
100,Target,Yes,155,None
101,Target,Yes,269,None
102,Non-Target,No,0,None
103,Target,Yes,229,None
104,Target,Yes,261,None
105,Non-Target,No,0,None
106,Target,Yes,175,None
107,Target,Yes,276,None
108,Target,Yes,276,None
109,Target,Yes,281,None
110,Non-Target,No,0,None
111,Non-Target,No,0,None
112,Non-Target,No,0,None
113,Non-Target,Yes,250,Commission
114,Target,Yes,155,None
115,Non-Target,No,0,None
116,Non-Target,No,0,None
117,Non-Target,No,0,None
118,Non-Target,No,0,None
119,Target,Yes,302,None
120,Non-Target,Yes,315,Commission
121,Target,Yes,337,None
122,Non-Target,No,0,None
123,Non-Target,No,0,None
124,Target,Yes,116,None
125,Non-Target,No,0,None
126,Target,Yes,343,None
127,Target,Yes,178,None
128,Non-Target,No,0,None
129,Target,Yes,190,None
130,Target,Yes,229,None
131,Non-Target,No,0,None
132,Non-Target,No,0,None
133,Target,Yes,248,None
134,Target,Yes,302,None
135,Non-Target,Yes,237,Commission
136,Non-Target,No,0,None
137,Target,Yes,236,None
138,Target,Yes,251,None
139,Non-Target,No,0,None
140,Non-Target,No,0,None
141,Non-Target,No,0,None
142,Non-Target,No,0,None
143,Target,Yes,232,None
144,Non-Target,No,0,None
145,Target,Yes,305,None
146,Non-Target,No,0,None
147,Target,Yes,343,None
148,Non-Target,No,0,None
149,Non-Target,No,0,None
150,Non-Target,No,0,None
151,Non-Target,No,0,None
152,Non-Target,No,0,None
153,Non-Target,No,0,None
154,Non-Target,No,0,None
155,Non-Target,No,0,None
156,Target,Yes,220,None
157,Non-Target,No,0,None
